it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
128	-12.768335	-5948.523284	-1198.037017	1.768115	0.923019	0.010984	23.618823	0.074663	0.647541	1.425819	1.956311	1673.522587
129	-12.424434	-5938.687432	-1185.806860	1.823038	0.861834	0.023258	23.651195	0.053712	0.705931	1.766507	2.218324	1657.974525
130	-12.583820	-5997.957599	-1188.608268	1.716846	0.910298	0.014678	23.698837	0.154763	0.773390	1.863175	2.164717	1683.808262
131	-12.303605	-5997.468049	-1188.748904	1.844276	0.987190	0.038751	24.382017	0.417539	0.815754	1.941011	2.169338	1690.047188
132	-12.341538	-5964.159616	-1196.594012	1.777428	1.059329	0.036014	24.574438	0.082585	0.826376	2.091334	2.317011	1676.811688
133	-12.304611	-5935.677570	-1190.589721	1.800916	1.014346	0.038847	24.936748	0.231859	0.721543	1.705703	2.099490	1662.740022
134	-12.102285	-5908.631000	-1200.047009	1.839347	0.746491	0.045687	24.672479	0.097190	0.719403	1.494767	1.844768	1662.649781
135	-12.650009	-6012.340645	-1207.599117	1.789405	0.776019	0.014886	25.625614	0.017264	0.647035	1.412596	1.939865	1712.573184
136	-13.018757	-5981.734270	-1197.289326	1.765584	1.068130	0.007770	23.605833	0.017938	0.729357	1.655921	2.018884	1688.614075
137	-13.026180	-6032.469496	-1183.856283	1.810690	0.910431	0.007090	23.799343	0.045713	0.831756	2.063915	2.276848	1706.928116
138	-13.708069	-6040.835443	-1190.218835	1.818848	0.921890	0.001973	24.522954	0.018325	0.806529	2.097876	2.363236	1720.017235
139	-13.213704	-5929.687308	-1187.071272	1.867319	0.812622	0.004783	23.919350	0.065360	0.714281	1.676307	2.082270	1677.674124
140	-13.364466	-5922.780275	-1194.244589	1.763111	0.958408	0.003505	23.925824	0.049694	0.605913	1.277742	1.898286	1674.686779
141	-13.980661	-5993.366047	-1196.114190	1.807000	0.823295	0.000957	24.176897	0.033345	0.747866	1.766644	2.108396	1718.934230
142	-13.872340	-5921.556808	-1183.016529	1.860854	0.956005	0.001510	24.045519	0.128226	0.788692	2.029026	2.322810	1672.934226
143	-13.559170	-5932.521180	-1188.943136	1.843789	0.877931	0.002651	24.511528	0.051027	0.744631	2.036131	2.438804	1684.656731
144	-13.383132	-6010.773363	-1200.471418	1.798708	0.873641	0.003186	23.640615	0.065701	0.761780	1.920273	2.257663	1721.461835
145	-13.235545	-5948.620283	-1197.369670	1.824973	0.802536	0.004348	24.221548	0.025131	0.755127	1.810416	2.143574	1696.137042
146	-13.255854	-5971.372231	-1200.372401	1.781753	0.983564	0.004916	24.340608	0.059862	0.742047	2.073166	2.490423	1702.407902
147	-12.906571	-5996.372349	-1203.921033	1.748463	0.833745	0.008023	24.637944	0.027104	0.714871	1.776091	2.204554	1711.465430
148	-12.913250	-5943.275301	-1200.039693	1.773914	0.885672	0.008638	24.635801	0.009737	0.705224	1.634150	2.054043	1686.849444
149	-12.702100	-5976.157341	-1201.512721	1.804884	0.723727	0.011964	24.558435	0.293164	0.697777	1.691261	2.147362	1691.485105
150	-12.565261	-5946.069971	-1192.036891	1.785389	0.962339	0.020852	25.241768	0.165758	0.701026	1.638160	2.070733	1675.740564
151	-13.081772	-5936.881273	-1191.692757	1.812131	0.801524	0.005404	23.453521	0.029527	0.650908	1.413050	1.927629	1675.253689
