Species	Status	MinT	MaxT
Acritohippus_tertius	extinct	17.6	17.6
Acritohippus_tertius	extinct	17.6	17.6
Acritohippus_tertius	extinct	18.3	18.3
Acritohippus_tertius	extinct	18.4	18.4
Acrotitan_ulanshirehensis	extinct	42.8	46.3
Acteocemas_beatrix	extinct	17.2	19.5
Acteocemas_infans	extinct	17.2	19.5
Acteocemas_infans	extinct	17.2	19.5
Acteocemas_infans	extinct	17.2	19.5
Acteocemas_infans	extinct	17.2	19.5
Acteocemas_infans	extinct	17.2	19.5
Aepinacodon_americanus	extinct	34.7	35.7
Aepinacodon_americanus	extinct	34.7	35.7
Aepinacodon_americanus	extinct	33.7	34.7
Aepinacodon_deflectus	extinct	33.7	34.7
Aepinacodon_rostratus	extinct	32	33.7
Aepinacodon_rostratus	extinct	32	33.7
Aepycamelus_alexandrae	extinct	14.8	16
Aepycamelus_alexandrae	extinct	12.5	14.8
Aepycamelus_bradyi	extinct	9	10.1
Aepycamelus_elrodi	extinct	14.8	16
Aepycamelus_giraffinus	extinct	14.8	16
Aepycamelus_giraffinus	extinct	12.1	14.8
Aepycamelus_giraffinus	extinct	12.5	14.8
Aepycamelus_giraffinus	extinct	12.5	14.8
Aepycamelus_major	extinct	10.1	12.1
Aepycamelus_major	extinct	9	10.1
Aepycamelus_major	extinct	7.6	9
Aepycamelus_major	extinct	6.8	9
Aepycamelus_major	extinct	4.9	5.9
Aepycamelus_priscus	extinct	16	17.5
Aepycamelus_priscus	extinct	16	17.5
Aepycamelus_procerus	extinct	14.8	16
Aepycamelus_procerus	extinct	14.8	16
Aepycamelus_robustus	extinct	14.8	16
Aepycamelus_robustus	extinct	12.5	14.8
Aepycamelus_robustus	extinct	12.5	14.8
Aepycamelus_robustus	extinct	12.1	12.5
Aepycamelus_robustus	extinct	10.1	12.1
Aepycamelus_robustus	extinct	10.1	12.1
Aepycamelus_stocki	extinct	14.8	16
Aepycamelus_stocki	extinct	12.5	16
Aepyceros_datoadeni	extinct	3.18	3.2
Aepyceros_datoadeni	extinct	3.2	3.446
Aepyceros_dietrichi	extinct	3.85	4.4
Aepyceros_dietrichi	extinct	3.58	3.85
Aepyceros_melampus	extant	1.86	2
Aepyceros_melampus	extant	1.53	1.87
Aepyceros_melampus	extant	0.0117	0.129
Aepyceros_melampus	extant	0.6	0.8
Aepyceros_melampus	extant	0.8	1.042
Aepyceros_melampus	extant	1.78	1.95
Aepyceros_melampus	extant	1.88	2.64
Aepyceros_melampus	extant	1.53	1.87
Aepyceros_melampus	extant	1.38	1.53
Aepyceros_melampus	extant	1.87	2.33
Aepyceros_melampus	extant	1.39	1.62
Aepyceros_melampus	extant	1.53	1.88
Aepyceros_melampus	extant	2.06	2.33
Aepyceros_melampus	extant	1.88	2
Aepyceros_melampus	extant	1.78	1.88
Aepyceros_melampus	extant	1.53	1.88
Aepyceros_melampus	extant	1.4	1.9
Aepyceros_melampus	extant	1.6	1.88
Aepyceros_melampus	extant	1.53	1.86
Aepyceros_melampus	extant	1.38	1.53
Aepyceros_melampus	extant	2.32	2.66
Aepyceros_melampus	extant	2.34	2.53
Aepyceros_melampus	extant	1.53	1.88
Aepyceros_melampus	extant	0.74	1.33
Aepyceros_melampus	extant	1.62	1.88
Aepyceros_melampus	extant	1.6	1.8
Aepyceros_melampus	extant	1.785	1.845
Aepyceros_melampus	extant	0.7	1.3
Aepyceros_melampus	extant	0.8	1.55
Aepyceros_shungurae	extinct	2.6	3.6
Aepyceros_shungurae	extinct	3.4	3.6
Aepyceros_shungurae	extinct	2.64	3.4
Aepyceros_shungurae	extinct	2.52	2.6
Aepyceros_shungurae	extinct	2.47	2.57
Aepyceros_shungurae	extinct	2.52	2.6
Aepyceros_shungurae	extinct	3.4	3.6
Aepyceros_shungurae	extinct	1.81	2.59
Aepyceros_shungurae	extinct	2.47	2.57
Aepyceros_shungurae	extinct	2.6	3.4
Aepyceros_shungurae	extinct	2.34	2.52
Aepyceros_shungurae	extinct	2.52	3.4
Aepyceros_shungurae	extinct	2.52	3.4
Aepyceros_shungurae	extinct	2.52	3.6
Aepyceros_shungurae	extinct	2.52	3.4
Aepyceros_shungurae	extinct	2.1	2.3
Aepyceros_shungurae	extinct	2.6	3.4
Aepyceros_shungurae	extinct	2.91	3.44
Aepyceros_shungurae	extinct	2.53	2.91
Aepyceros_shungurae	extinct	2.4	2.53
Aepyceros_shungurae	extinct	2.32	2.4
Aepyceros_shungurae	extinct	2.27	2.32
Aepyceros_shungurae	extinct	1.9	2.27
Aepyceros_shungurae	extinct	1.76	1.9
Aepyceros_shungurae	extinct	0.7	1.3
Aepyceros_shungurae	extinct	3.6	3.94
Aepyceros_shungurae	extinct	2.64	3.4
Afrikanokeryx_leakeyi	extinct	7.1	11.2
Afrochoerodon_kisumuensis	extinct	19	19.16
Afrochoerodon_kisumuensis	extinct	17	18
Afrochoerodon_kisumuensis	extinct	13.82	15.97
Afrochoerodon_kisumuensis	extinct	13.82	15.97
Afrochoerodon_kisumuensis	extinct	13.82	15.97
Afrochoerodon_kisumuensis	extinct	13.82	15.97
Afrochoerodon_kisumuensis	extinct	15.5	15.5
Afrochoerodon_kisumuensis	extinct	14.7	15.2
Afrochoerodon_kisumuensis	extinct	11.63	13.82
Afromastodon_coppensi	extinct	14.2	16.4
Afromeryx_grex	extinct	17	18
Afromeryx_palustris	extinct	17	18
Afromeryx_zelteni	extinct	15.5	17.5
Afromeryx_zelteni	extinct	17	18
Afromeryx_zelteni	extinct	13.8	16
Afrotragus_libycus	extinct	7.1	7.6
Afrotragus_libycus	extinct	5.3	7.1
Afrotragus_premelampus	extinct	4.2	5.3
Afrotragus_premelampus	extinct	6.54	7.44
Afrotragus_premelampus	extinct	5.3	6.54
Agalmaceros_blicki	extinct	0.019	0.026
Agalmaceros_blicki	extinct	0.012	0.02
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_antiquus	extinct	33.7	34.7
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_antiquus	extinct	33.7	34.7
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_antiquus	extinct	33.7	34.7
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_antiquus	extinct	34.7	35.7
Agriochoerus_antiquus	extinct	32	33.7
Agriochoerus_guyotianus	extinct	28.1	30
Agriochoerus_guyotianus	extinct	30	32
Agriochoerus_guyotianus	extinct	28.1	31.4
Agriochoerus_guyotianus	extinct	28.1	30
Agriochoerus_guyotianus	extinct	30	31.4
Agriochoerus_guyotianus	extinct	28.1	30
Agriochoerus_major	extinct	33.4	33.7
Agriochoerus_major	extinct	32	33.7
Agriochoerus_maximus	extinct	34.7	36.5
Agriochoerus_maximus	extinct	34.7	35.7
Agriochoerus_maximus	extinct	33.7	35.7
Agriochoerus_maximus	extinct	33.7	37
Agriochoerus_maximus	extinct	36.5	37
Agriochoerus_pearcei	extinct	40	42.8
Agriochoerus_pearcei	extinct	37.2	40.4
Aguascalientia_minuta	extinct	18.8	23
Aguascalientia_panamaensis	extinct	18.8	23
Aguascalientia_wilsoni	extinct	17.5	18.8
Aktautitan_hippopotamopus	extinct	42.8	46.3
Albanohyus_castellensis	extinct	9.9	12.9
Albanohyus_castellensis	extinct	11.2	12.9
Albanohyus_castellensis	extinct	11.2	12.9
Albanohyus_castellensis	extinct	9.9	11.2
Albanohyus_castellensis	extinct	9.9	11.2
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0.04	0.04
Alcelaphus_buselaphus	extant	0.056	0.17
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0.056	0.074
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.126	0.781
Alcelaphus_buselaphus	extant	0	0.129
Alcelaphus_buselaphus	extant	0.8	1.8
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0.0117	0.129
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alcelaphus_buselaphus	extant	0	0.0117
Alces_alces	extant	1.8	2.6
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	0.0117	0.781
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	0	0.0117
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	0.0117	0.781
Alces_alces	extant	0	0.0117
Alces_alces	extant	0.0117	0.129
Alces_alces	extant	1.8	2.6
Alces_carnutorum	extinct	2.6	3.6
Alces_carnutorum	extinct	2	3.6
Alces_carnutorum	extinct	0.427	0.568
Alces_gallicus	extinct	2	3.6
Alces_gallicus	extinct	2.433	2.917
Alces_gallicus	extinct	2	2.5
Alces_gallicus	extinct	2.6	3.6
Alces_gallicus	extinct	2	3.6
Alces_gallicus	extinct	2	2.5
Alces_gallicus	extinct	2	3.6
Alces_latifrons	extinct	0.78	1.95
Alces_latifrons	extinct	1.9	2.131
Alces_latifrons	extinct	0.9	1.3
Alcicephalus_neumayri	extinct	8.16	8.96
Alcicephalus_neumayri	extinct	7.1	8.9
Alcicephalus_neumayri	extinct	7.9	8.16
Alcicephalus_neumayri	extinct	7.4	7.9
Alcicephalus_neumayri	extinct	5.3	7.1
Alcicephalus_neumayri	extinct	5.3	7.1
Alephis_boodon	extinct	5	5.3
Alephis_boodon	extinct	5	5.3
Alephis_boodon	extinct	3.6	5
Alephis_lyrix	extinct	3.6	5
Alephis_lyrix	extinct	3.6	5
Alephis_lyrix	extinct	5	5.3
Alephis_tigneresi	extinct	1.81	2.59
Aletomeryx_gracilis	extinct	17.5	18.8
Aletomeryx_gracilis	extinct	17.5	18.8
Aletomeryx_gracilis	extinct	16	17.5
Aletomeryx_marslandensis	extinct	17.5	18.8
Aletomeryx_occidentalis	extinct	17.5	18.8
Alforjas_magnifontis	extinct	9	12.1
Alforjas_magnifontis	extinct	10.1	12.1
Alforjas_magnifontis	extinct	10.1	12.1
Alforjas_taylori	extinct	7.6	9
Alforjas_taylori	extinct	7.6	9
Alforjas_taylori	extinct	6.8	7.6
Alicornops_complanatum	extinct	4.9	9.8
Alicornops_complanatum	extinct	3.5	10.1
Alicornops_complanatum	extinct	9.8	11.1
Alicornops_complanatum	extinct	7.25	11.6
Alicornops_laogouense	extinct	11.1	15
Alicornops_laogouense	extinct	11.1	15
Alicornops_laogouense	extinct	15	17
Alicornops_laogouense	extinct	14.2	18.4
Alicornops_simorrense	extinct	8.7	9.8
Alicornops_simorrense	extinct	9.8	11.1
Alicornops_simorrense	extinct	9.8	11.1
Alicornops_simorrense	extinct	9.8	11.1
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	9.9	11.2
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	11.1	13.5
Alicornops_simorrense	extinct	9.8	15
Alicornops_simorrense	extinct	13.5	15
Alicornops_simorrense	extinct	13.5	15
Alicornops_simorrense	extinct	13.5	15
Alicornops_simorrense	extinct	13.5	15
Alicornops_simorrense	extinct	13.5	15
Alicornops_simorrense	extinct	11.6	16.3
Alicornops_simorrense	extinct	13.5	17
Allacerops_minor	extinct	31	34
Allacerops_minor	extinct	31	34
Allacerops_osborniana	extinct	33	38
Allacerops_pomeli	extinct	23	23.23
Amebelodon_floridanus	extinct	7.6	9
Amebelodon_floridanus	extinct	7.6	9
Amebelodon_floridanus	extinct	6.8	9
Amebelodon_floridanus	extinct	6.8	7.6
Amebelodon_floridanus	extinct	4.9	5.9
Amebelodon_fricki	extinct	7.6	9
Amebelodon_fricki	extinct	7.6	9
Amebelodon_fricki	extinct	6.8	7.6
Amebelodon_fricki	extinct	6.8	7.6
Amebelodon_fricki	extinct	6.8	7.6
Ampelomeryx_ginsburgi	extinct	16.4	17.2
Ampelomeryx_ginsburgi	extinct	16.4	17.2
Amphicaenopus_platycephalus	extinct	30	31.4
Amphicaenopus_platycephalus	extinct	27.9	32.2
Amphicaenopus_platycephalus	extinct	33.7	34.7
Amphimoschus_artenensis	extinct	16.4	17.2
Amphimoschus_artenensis	extinct	16.4	17.2
Amphimoschus_artenensis	extinct	17.2	19.5
Amphimoschus_artenensis	extinct	18.317	20.162
Amphimoschus_artenensis	extinct	14.2	16.4
Amphimoschus_artenensis	extinct	12.9	14.2
Amphimoschus_artenensis	extinct	16.4	17.2
Amphimoschus_artenensis	extinct	16.4	17.2
Amphimoschus_artenensis	extinct	12.9	14.2
Amphimoschus_ponteleviensis	extinct	14.2	16.4
Amphimoschus_ponteleviensis	extinct	14.2	16.4
