fraction,tree,extinction,estimate,mape
0.25,tree.137,no_ext,mape.mean.new,98.4466122964104
0.25,tree.137,no_ext,mape.median.new,123.6534924270187
0.25,tree.138,no_ext,mape.incomplete,639.4136243411161
0.25,tree.138,no_ext,mape.mean,515.4327280004053
0.25,tree.138,no_ext,mape.median,639.29321399174
0.25,tree.138,no_ext,mape.mean.new,469.862004484179
0.25,tree.138,no_ext,mape.median.new,639.413609408809
0.25,tree.139,no_ext,mape.incomplete,678.7894309832664
0.25,tree.139,no_ext,mape.mean,547.2784965713583
0.25,tree.139,no_ext,mape.median,678.7302413234083
0.25,tree.139,no_ext,mape.mean.new,508.6641986441505
0.25,tree.139,no_ext,mape.median.new,678.7894177699203
0.25,tree.14,no_ext,mape.incomplete,317.5001453045205
0.25,tree.14,no_ext,mape.mean,262.98794145140903
0.25,tree.14,no_ext,mape.median,317.5186118135762
0.25,tree.14,no_ext,mape.mean.new,271.561249614965
0.25,tree.14,no_ext,mape.median.new,317.50013846379625
0.25,tree.140,no_ext,mape.incomplete,217.25862338232739
0.25,tree.140,no_ext,mape.mean,185.5742085827547
0.25,tree.140,no_ext,mape.median,219.3683148785801
0.25,tree.140,no_ext,mape.mean.new,187.79499192885086
0.25,tree.140,no_ext,mape.median.new,217.25862398160038
0.25,tree.141,no_ext,mape.incomplete,53.82333596521154
0.25,tree.141,no_ext,mape.mean,56.70708691645886
0.25,tree.141,no_ext,mape.median,54.26775383624551
0.25,tree.141,no_ext,mape.mean.new,54.43569982992521
0.25,tree.141,no_ext,mape.median.new,53.82333696514342
0.25,tree.142,no_ext,mape.incomplete,477.60893254936974
0.25,tree.142,no_ext,mape.mean,390.0203742606781
0.25,tree.142,no_ext,mape.median,477.8083228597997
0.25,tree.142,no_ext,mape.mean.new,320.82501901999814
0.25,tree.142,no_ext,mape.median.new,477.6089225114096
0.25,tree.143,no_ext,mape.incomplete,69.03686545454775
0.25,tree.143,no_ext,mape.mean,72.36737914458111
0.25,tree.143,no_ext,mape.median,73.18042345437283
0.25,tree.143,no_ext,mape.mean.new,59.101023265502086
0.25,tree.143,no_ext,mape.median.new,69.03687523272303
0.25,tree.144,no_ext,mape.incomplete,104.69622737143276
0.25,tree.144,no_ext,mape.mean,97.58792488357119
0.25,tree.144,no_ext,mape.median,106.92642034690525
0.25,tree.144,no_ext,mape.mean.new,94.23602974343032
0.25,tree.144,no_ext,mape.median.new,104.69622891349364
0.25,tree.145,no_ext,mape.incomplete,141.74891625246642
0.25,tree.145,no_ext,mape.mean,126.84867181737293
0.25,tree.145,no_ext,mape.median,142.7856546962459
0.25,tree.145,no_ext,mape.mean.new,128.78298763486623
0.25,tree.145,no_ext,mape.median.new,141.7489155607144
0.25,tree.146,no_ext,mape.incomplete,113.39856201268441
0.25,tree.146,no_ext,mape.mean,105.1769387258523
0.25,tree.146,no_ext,mape.median,116.12427975522921
0.25,tree.146,no_ext,mape.mean.new,95.40851119840804
