tree,status,mean.true,mean.0.50
tree.115,VU,1.637779250876715,1.6674541212169056
tree.115,EN,3.0712014649685004,1.6435669960045702
tree.115,CR,7.9771084241265235,2.574958090816634
tree.116,LC,0.26266725378510436,0.2848123989640053
tree.116,NT,0.9060863128256372,1.9668988588763954
tree.116,VU,1.7892144923654634,3.4901008645360307
tree.116,EN,3.1560988010796427,4.091522912802472
tree.116,CR,6.990981093205783,2.244387593201284
tree.117,LC,0.35425407200547493,1.5224560536009262
tree.117,NT,1.2485198506364321,1.3447218841475335
tree.117,VU,2.3832573208380636,2.3600455108838405
tree.117,EN,4.158317670914667,2.5310721250056396
tree.117,CR,7.033573877834384,2.094064091569597
tree.118,LC,0.3969342044665089,1.3231530390030677
tree.118,NT,1.215948342293712,2.6017739256626076
tree.118,VU,2.2836664857584044,0.9663157795252963
tree.118,EN,4.630908562551371,2.0552952831348144
tree.118,CR,8.848055553034122,3.122132918995934
tree.119,LC,0.32789396056123865,0.9338119569244
tree.119,NT,0.9964747460944129,2.9446861071628305
tree.119,VU,1.8273235669371586,2.8950122823158004
tree.119,EN,3.5804104841915323,1.949966754439439
tree.119,CR,9.41661127657129,1.0991980920499906
tree.12,LC,0.2686435392394388,0.32051390112752337
tree.12,NT,0.8600165612235336,1.155576336365476
tree.12,VU,1.7833432675759167,3.936738411428
tree.12,EN,3.056808857475048,3.451546473671214
tree.12,CR,6.373726381604964,2.7731111171598832
tree.120,LC,0.34275792682385525,0.5848175567066911
tree.120,NT,1.1654729701704436,2.853522600412763
tree.120,VU,2.1311359052759022,2.458365619618774
tree.120,EN,4.022713424516043,2.040376649566014
tree.120,CR,8.44736631148619,1.6190148887229645
tree.121,LC,0.2644515243404165,0.45158211165195083
tree.121,NT,0.7544908563022484,1.3639095127693874
tree.121,VU,1.4785950988620902,1.710110580782138
tree.121,EN,2.7446008259023835,2.019420355084742
tree.121,CR,7.86170465148151,3.933405099942123
tree.122,LC,0.4040047022168437,0.642397593080847
tree.122,NT,1.5396070063155312,1.9428995545494523
tree.122,VU,2.6992097826050423,1.8020802397601394
tree.122,EN,4.606077049853689,4.405581244091616
tree.122,CR,11.443425607290058,2.5877506555328043
tree.123,LC,0.4102894083404835,1.6322747295915063
tree.123,NT,1.5330666850811319,2.13285448489801
tree.123,VU,2.775228064077777,1.4022328616312103
tree.123,EN,4.866205828372942,3.071260236912517
tree.123,CR,9.639330626328318,3.3625157515832664
tree.124,LC,0.30522081848269494,0.6391443133619398
tree.124,NT,1.2768537566062745,3.1328210319171625
tree.124,VU,2.022748239696172,1.6965541675324052
tree.124,EN,3.839277020919375,3.8248689877200457
tree.124,CR,9.146051627956716,2.5798034879637592
tree.125,LC,0.3047821241435318,0.6786476565889924
tree.125,NT,1.118329458359151,2.1832432759073677
tree.125,VU,2.280291739422325,1.9314659975110886
tree.125,EN,4.085123268391069,2.822579433153088
tree.125,CR,7.951406928577467,1.2792218769831827
tree.126,LC,0.5154880170736702,1.336664044463252
tree.126,NT,1.5016873144038059,1.6205691872690955
tree.126,VU,3.3453477629483146,2.677593840700254
tree.126,EN,5.838422222115074,2.0066627244734847
tree.126,CR,11.533381097855823,2.054643779490274
tree.127,LC,0.34082289842061303,0.5544730268498672
tree.127,NT,1.2947769856764577,1.7359900622579374
tree.127,VU,2.647261689539574,3.093643809747864
tree.127,EN,4.93717411221133,2.05777728247724
tree.127,CR,10.243283806958676,2.1951469478396834
tree.128,LC,0.24558364852302836,0.5468401120728501
tree.128,NT,0.7784570776741304,1.2968343717933284
tree.128,VU,1.4751757225094564,1.6000087193782149
tree.128,EN,2.6592180384255597,2.1900889293864063
tree.128,CR,6.425243442445722,2.0406373792873307
tree.129,LC,0.3654781006337841,1.2738931970632887
tree.129,NT,1.2287020899296441,1.9687589106104566
tree.129,VU,2.5819990784945865,2.8865616252645085
tree.129,EN,4.375894068784021,1.651559870031641
tree.129,CR,8.784729065219937,4.556683774014005
tree.13,LC,0.28349067395275734,0.9878086165054335
tree.13,NT,1.2068942920386432,2.190155601095727
tree.13,VU,2.4055003511904265,1.6223446283301177
